#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
254,74647,42322,Cannabis Premises Check,PASCO,FRANKLIN
255,74647,42686,Cannabis Premises Check,PASCO,FRANKLIN
256,74990,42893,Cannabis Compliance Check-no Sale,UNINCORPORATED AREAS,SPOKANE
257,75118,45640,Cannabis Compliance Check-no Sale,WALLA WALLA (CITY),WALLA WALLA
258,75254,43762,Cannabis Compliance Check-no Sale,SEATTLE,KING
259,76189,42670,Cannabis Premises Check,IONE,PEND OREILLE
260,76189,42691,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
261,76189,42691,Cannabis Premises Check,IONE,PEND OREILLE
262,76189,42801,Cannabis Premises Check,IONE,PEND OREILLE
263,76189,42832,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
264,76189,42852,Cannabis Premises Check,IONE,PEND OREILLE
265,76189,42878,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
266,76189,42878,Cannabis Premises Check,IONE,PEND OREILLE
267,76189,42936,Cannabis Premises Check,IONE,PEND OREILLE
268,76189,42940,Cannabis Premises Check,IONE,PEND OREILLE
269,76189,42975,Cannabis Premises Check,IONE,PEND OREILLE
270,76189,42999,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
271,76189,42999,Cannabis Premises Check,IONE,PEND OREILLE
272,76189,43013,Cannabis Premises Check,IONE,PEND OREILLE
273,76189,43053,Cannabis Premises Check,IONE,PEND OREILLE
274,76189,43134,Cannabis Premises Check,IONE,PEND OREILLE
275,76189,43164,Cannabis Premises Check,IONE,PEND OREILLE
276,76189,43241,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
277,76189,43241,Cannabis Premises Check,IONE,PEND OREILLE
278,76189,43270,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
279,76189,43270,Cannabis Premises Check,IONE,PEND OREILLE
280,76189,43334,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
281,76189,43452,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
282,76189,43452,Cannabis Premises Check,IONE,PEND OREILLE
283,76189,43570,Cannabis Premises Check,IONE,PEND OREILLE
284,76189,43641,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
285,76189,43641,Cannabis Premises Check,IONE,PEND OREILLE
286,76189,43697,Cannabis Premises Check,IONE,PEND OREILLE
287,76189,43746,Cannabis Premises Check,IONE,PEND OREILLE
288,76189,43763,Cannabis Premises Check,IONE,PEND OREILLE
289,76189,43901,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
290,76189,43901,Cannabis Premises Check,IONE,PEND OREILLE
291,76189,43907,Cannabis Premises Check,IONE,PEND OREILLE
292,76189,44092,Cannabis Premises Check,IONE,PEND OREILLE
293,76189,44361,Cannabis Premises Check,IONE,PEND OREILLE
294,76189,44496,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
295,76189,44496,Cannabis Premises Check,IONE,PEND OREILLE
296,76189,44544,Cannabis Premises Check,IONE,PEND OREILLE
297,76189,44680,Cannabis Premises Check,IONE,PEND OREILLE
298,76189,45567,Cannabis Premises Check,IONE,PEND OREILLE
299,76189,45595,Cannabis Premises Check,IONE,PEND OREILLE
300,76189,45666,Cannabis Compliance Check-no Sale,IONE,PEND OREILLE
301,76189,45666,Cannabis Premises Check,IONE,PEND OREILLE
302,76189,45686,Cannabis Premises Check,IONE,PEND OREILLE
303,76201,45246,Cannabis Sample Collected,,
304,76458,42384,Cannabis Applicant Site Verification,TACOMA,PIERCE
305,76458,42721,Cannabis Premises Check,TACOMA,PIERCE
306,76458,42752,Cannabis Premises Check,TACOMA,PIERCE
307,76458,42762,Cannabis Premises Check,TACOMA,PIERCE
308,76458,42782,Cannabis Premises Check,TACOMA,PIERCE
309,76458,42795,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
310,76458,42826,Cannabis Premises Check,TACOMA,PIERCE
311,76458,42830,Cannabis Premises Check,TACOMA,PIERCE
312,76458,42838,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
313,76458,42857,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
314,76458,42887,Cannabis Premises Check,TACOMA,PIERCE
315,76458,42921,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
316,76458,42922,Cannabis Premises Check,TACOMA,PIERCE
317,76458,42930,Cannabis Premises Check,TACOMA,PIERCE
318,76458,42935,Cannabis Premises Check,TACOMA,PIERCE
319,76458,42942,Cannabis Premises Check,TACOMA,PIERCE
320,76458,42962,Cannabis Premises Check,TACOMA,PIERCE
321,76458,42979,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
322,76458,43005,Cannabis Premises Check,TACOMA,PIERCE
323,76458,43026,Cannabis Premises Check,TACOMA,PIERCE
324,76458,43031,Cannabis Premises Check,TACOMA,PIERCE
325,76458,43032,Cannabis Premises Check,TACOMA,PIERCE
326,76458,43038,Cannabis Premises Check,TACOMA,PIERCE
327,76458,43045,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
